Timestamp,Food ID,Rate the taste (1 = low),Rate the texture (1 = low),Code Name (optional personal identifier),Comments (optional)
4/23/2017 10:34:58,A,4,4,R,
4/23/2017 10:35:19,Q,2,1,,
4/23/2017 10:37:00,B,2,2,R,
4/23/2017 10:39:42,C,1,1,,R
4/23/2017 10:40:29,C,3,2,,
4/23/2017 10:43:31,O,3,1,,
4/23/2017 10:44:09,D,2,1,R,Goat
4/23/2017 10:46:40,T,4,4,,
4/23/2017 10:46:50,S,2,4,,
4/23/2017 10:47:23,A,3,3,🦊,
4/23/2017 10:47:37,B,3,3,🦊,
4/23/2017 10:47:40,T,3,3,R,
4/23/2017 10:47:53,C,2,1,🦊,
4/23/2017 10:48:17,D,2,2,🦊,
4/23/2017 10:48:31,E,4,3,🦊,
4/23/2017 10:49:57,S,2,2,R,
4/23/2017 10:50:15,R,4,4,,
4/23/2017 10:50:39,F,3,3,🦊,
4/23/2017 10:52:02,A,2,3,,
4/23/2017 10:52:13,G,3,3,🦊,
4/23/2017 10:52:20,R,3,3,R,
4/23/2017 10:52:40,R,3,4,,
4/23/2017 10:53:42,A,2,3,,
4/23/2017 10:53:46,H,4,3,🦊,
4/23/2017 10:54:17,D,1,2,,
4/23/2017 10:54:10,Q,2,2,R,
4/23/2017 10:54:35,B,4,5,,
4/23/2017 10:54:39,I,3,3,🦊,
4/23/2017 10:55:24,C,4,1,,
4/23/2017 10:56:16,K,2,3,R,
4/23/2017 10:56:24,D,1,2,,
4/23/2017 10:56:29,P,2,4,,
4/23/2017 10:57:21,E,2,3,,
4/23/2017 10:58:06,O,2,3,,
4/23/2017 10:58:46,F,5,4,,
4/23/2017 10:58:56,L,2,3,R,
4/23/2017 10:58:58,L,3,3,🦊,
4/23/2017 10:59:34,N,4,3,,
4/23/2017 11:01:11,G,5,4,,
4/23/2017 11:01:16,A,5,4,🎁,
4/23/2017 11:01:27,M,3,3,,
4/23/2017 11:01:36,M,1,2,R,
4/23/2017 11:02:15,H,4,3,,
4/23/2017 11:02:19,B,4,4,🎁,
4/23/2017 11:03:08,M,4,3,🦊,
4/23/2017 11:03:11,D,2,3,👌,Boring!
4/23/2017 11:03:16,C,2,4,🎁,
4/23/2017 11:03:17,I,5,4,,
4/23/2017 11:03:34,N,4,4,🦊,
4/23/2017 11:03:34,S,2,2,,
4/23/2017 11:04:26,D,1,3,🎁,
4/23/2017 11:04:39,C,4,4,👌,
4/23/2017 11:04:45,O,1,2,🦊,
4/23/2017 11:04:51,N,5,4,R,
4/23/2017 11:05:16,E,3,4,🎁,
4/23/2017 11:05:53,B,3,4,👌,
4/23/2017 11:06:16,F,4,3,🎁,
4/23/2017 11:06:19,L,3,3,,
4/23/2017 11:06:45,N,4,4,R,
4/23/2017 11:06:48,J,4,4,,
4/23/2017 11:06:57,G,3,3,🎁,
4/23/2017 11:07:04,O,2,1,,
4/23/2017 11:07:13,A,3,3,👌,
4/23/2017 11:07:26,P,2,3,,
4/23/2017 11:07:33,O,4,4,R,
4/23/2017 11:07:42,A,3,3,,
4/23/2017 11:07:59,H,2,4,🎁,
4/23/2017 11:08:06,B,2,4,,
4/23/2017 11:08:24,C,2,2,,
4/23/2017 11:08:25,J,2,2,👌,
4/23/2017 11:08:26,O,1,2,,
4/23/2017 11:08:42,E,4,3,,
4/23/2017 11:08:47,P,3,3,R,
4/23/2017 11:09:02,F,4,3,,
4/23/2017 11:09:02,I,3,4,🎁,
4/23/2017 11:09:21,G,4,5,,
4/23/2017 11:09:32,N,4,4,,
4/23/2017 11:09:37,H,3,4,,
4/23/2017 11:09:55,I,4,5,,
4/23/2017 11:09:58,K,3,3,,
4/23/2017 11:09:59,I,3,3,👌,
4/23/2017 11:10:10,J,2,3,,
4/23/2017 11:10:21,J,4,4,🎁,
4/23/2017 11:10:26,K,4,4,,
4/23/2017 11:10:42,L,2,3,,
4/23/2017 11:10:50,T,3,4,,
4/23/2017 11:10:56,M,4,5,,
4/23/2017 11:11:12,N,3,3,,
4/23/2017 11:11:15,K,4,4,🎁,
4/23/2017 11:11:29,O,2,4,,
4/23/2017 11:11:34,P,2,3,🦊,
4/23/2017 11:11:44,P,3,1,,
4/23/2017 11:11:59,S,2,3,,
4/23/2017 11:11:59,J,2,3,,
4/23/2017 11:12:00,L,4,4,🎁,Very salty
4/23/2017 11:12:10,T,2,3,,
4/23/2017 11:12:49,Q,3,3,🦊,
4/23/2017 11:12:50,H,1,3,👌,
4/23/2017 11:12:58,M,3,4,🎁,
4/23/2017 11:13:27,I,2,3,,
4/23/2017 11:13:53,G,3,3,👌,
4/23/2017 11:14:17,N,3,4,🎁,Not salty enough
4/23/2017 11:14:29,S,3,3,,
4/23/2017 11:14:57,S,3,3,🦊,
4/23/2017 11:15:28,O,3,4,🎁,Not salty enough
4/23/2017 11:15:37,F,2,2,👌,
4/23/2017 11:16:12,T,2,3,🦊,
4/23/2017 11:16:17,E,3,2,R,Tang grows on me
4/23/2017 11:16:19,M,2,3,,
4/23/2017 11:16:23,P,3,4,🎁,Boring
4/23/2017 11:16:24,E,2,3,👌,
4/23/2017 11:16:24,P,3,4,🎁,Boring
4/23/2017 11:17:30,K,2,3,👌,
4/23/2017 11:17:42,H,2,3,,
4/23/2017 11:18:15,Q,4,4,🎁,
4/23/2017 11:18:31,F,3,3,R,
4/23/2017 11:18:58,R,3,4,🎁,
4/23/2017 11:19:06,R,4,4,,
4/23/2017 11:19:28,L,1,3,👌,
4/23/2017 11:19:55,S,5,3,🎁,Interesting
